,all_visas
2005-06,22
2006-07,37
2007-08,69
2008-09,65
2009-10,101
2010-11,84
2011-12,108.0
2012-13,80
2013-14,79
2014-15,96
2015-16,142
2016-17,194.0
2017-18,221
2018-19,218
2019-20,268
2020-21,348
2021-22,381
